"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Computer;No;General;September;ZJU;Zhejiang University;Yes;Information Engineering;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";28th Feb;"Type A: 18
Type B: 16";80000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"Partial Tuition Waiver: RMB 32,000   yuan/ Academic Year _Each scholarship will be reviewed   annually and renewed up to four academic years on the conditions

that the student meets requirements   for satisfactory progress toward the degrees and follows the rules of   Zhejiang University._";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;Good mathematics and physics knowledge is required;;;;;;;;;;;;;;;
Electrical;No;General;September;ZJU;Zhejiang University;Yes;Electronic Science and Technology;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";28th Feb;"Type A: 18
Type B: 16";80000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"RMB 5,000-30,000Partial Tuition Waiver: RMB 32,000   yuan/ Academic Year _Each scholarship will be reviewed   annually and renewed up to four academic years on the conditions

that the student meets requirements   for satisfactory progress toward the degrees and follows the rules of   Zhejiang University._";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;"IELTS: 6.5 or above;TOEFL: 80 or above;Duolingo: 120 or above 

Other requirements : Solid mathematics knowledge is recommended";;;;;;;;;;;;;;;
Others;No;General;September;ZJU;Zhejiang University;Yes;Automation;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";28th Feb;"Type A: 18
Type B: 16";80000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"Type A: RMB 80,000 yuan / Academic Year
Type B: RMB 40,000 yuan / Academic Year
( Each scholarship will be reviewed   annually and renewed up to four academic years on the conditions
that the student meets requirements   for satisfactory progress toward the degrees and follows the rules of   Zhejiang University._";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;Good mathematics knowledge is required .;;;;;;;;;;;;;;;
Others;No;General;September;ZJU;Zhejiang University;Yes;Optical Information Science and Engineering;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A: 18
Type B: 16";80000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"Partial Tuition Waiver: RMB 32,000   yuan/ Academic Year _Each scholarship will be reviewed   annually and renewed up to four academic years on the conditions

that the student meets requirements   for satisfactory progress toward the degrees and follows the rules of   Zhejiang University._";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;Applicant should be non-colorblind. Good mathematics knowledge is required.;;;;;;;;;;;;;;;
Art;No;General;September;LNCU;Liaoning Communication University;No;Visual Communication Design;Qumin;;;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Art;No;General;September;LNCU;Liaoning Communication University;No;Animation Design;Qumin;;;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Art;No;General;September;LNCU;Liaoning Communication University;No;Fashion Design;Qumin;;;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Business;No;General;September;LNCU;Liaoning Communication University;No;International Trade;Qumin;;;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Others;No;General;September;LNCU;Liaoning Communication University;No;Network & Multi-media Applications;Qumin;;  ;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Others;No;General;September;LNCU;Liaoning Communication University;No;Multi-media Marketing & Management;Qumin;;;;;Shenyang, Liaoning;500+-SHANGHAI RANKING;N/A;30th June;Over D or 60%;RMB18000/year;"RMB12000/year (north single room); 
RMB14400/year (south single room)
RMB6000/year (north double room); 
RMB7200/year (south double room)";Allowed from Second Year;"First year: no scholarships
Other years: From RMB1000-2000/year";No;No;No;25;EFFST, Duolingo, TOEFL, IELTS;LNCU;LNCU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥ 95";;;;;;;;;;;;;;;
Software;No;General;September;NCU;Nanchang University;Yes;Software Engineering;Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB19000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
Business;No;General;September;NCU;Nanchang University;Yes;Business Administration;Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB18000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
Computer;No;General;September;NCU;Nanchang University;Yes;Computer Science and Technology;Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB19000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
Artificial Intelligence AI;No;General;September;NCU;Nanchang University;Yes;Artificial Intelligence;Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB19000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
Material;No;General;September;NCU;Nanchang University;Yes;Materials Science and Engineering;Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB19000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
Material;No;General;September;NCU;Nanchang University;Yes;Material Forming and Control Engineering ( English & Chinese taught);Qumin;;;;;Nanchang, Jiangxi;73-SHANGHAI RANKING;"211 
Double First-Class";30th June;"70%
Morocco average: ≥12
Morocco math: ≥12";RMB19000/year;"North Qianhu Campus:
7,500 yuan/person/year (Double room)
5,000 yuan/person/year (Triple room)
3,750 yuan/person/year (Quad room)

South Qianhu Campus
4,600 yuan/person/year (Double room)
3,000 yuan/person/year (Triple room)";Not Allowed;"Type A: 20000/academic year
Type B:Cover 100% tuition free for the first year
Type C:Cover 70% tuition free for the first year
Type D:Cover 50% tuition free for the first year";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;NCU;NCU;"TOEFL≥ 82
IELTS≥ 6,0";;;;;;;;;;;;;;;
MBBS;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;MBBS (6 years);Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;35000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;N/A;No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Pharmacy;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Dental Surgery (6 years);Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;35000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;N/A;No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
BDS;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Pharmacy;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;25000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;20,000 RMB/year (4 years);No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
