University Name,Program Name,Level,Duration,Tuition Fee,Program Language,Application Deadline,Start Date
Wageningen University,BSc Political Science,Bachelor's,3 Years,"€10,000/year",Dutch,April 1,Spring (February)
Leiden University,BA Nursing,Bachelor's,3 Years,"€15,000/year",English,April 1,Spring (February)
Erasmus University Rotterdam,BSc Biology,Bachelor's,3 Years,"€20,000/year",Dutch,May 1,Spring (February)
ETH Zurich,BSc Architecture,Bachelor's,3 Years,CHF 800/semester,French,April 30,Spring (February)
EPFL,BSc Linguistics,Bachelor's,3 Years,"CHF 1,500/semester",German,April 30,Autumn (September)
University of Zurich,BA Business Administration,Bachelor's,3 Years,"CHF 1,500/semester",English,November 30,Spring (February)
University of Geneva,BA Biomedical Science,Bachelor's,3 Years,CHF 800/semester,German,November 30,Autumn (September)
University of Bern,BSc Artificial Intelligence,Bachelor's,3 Years,CHF 730/semester,French,November 30,Autumn (September)
University of Barcelona,BA Architecture,Bachelor's,4 Years,"€2,500/year",English,June 30,Autumn (September)
Autonomous University of Madrid,BEng Aerospace Engineering,Bachelor's,4 Years,"€4,000/year",Spanish,June 30,Autumn (September)
Complutense University of Madrid,BSc English Literature,Bachelor's,4 Years,"€4,000/year",English,July 15,Autumn (September)
Pompeu Fabra University,BSc Political Science,Bachelor's,4 Years,"€2,500/year",English,June 30,Autumn (September)
University of Navarra,BSc Mathematics,Bachelor's,4 Years,"€4,000/year",English,July 15,Autumn (September)
Sorbonne University,BSc Biomedical Science,Bachelor's,3 Years,€170/year,French and English,March 15,Autumn (September)
Ecole Polytechnique,BSc Psychology,Bachelor's,3 Years,"€2,770/year",French and English,January 15,Autumn (September)
Paris Sciences et Lettres,BEng Electrical Engineering,Bachelor's,3 Years,€243/year,French,January 15,Autumn (September)
University of Paris,BSc International Relations,Bachelor's,3 Years,"€2,770/year",French and English,January 15,Autumn (September)
Sciences Po,BA Finance,Bachelor's,3 Years,"€10,000/year",English,March 15,Autumn (September)
University of Tokyo,BA International Relations,Bachelor's,4 Years,"¥800,000/year",English,December 15,Spring (April)
Kyoto University,BEng Aerospace Engineering,Bachelor's,4 Years,"¥800,000/year",Japanese,February 15,Spring (April)
Tokyo Institute of Technology,BSc Computer Science,Bachelor's,4 Years,"¥1,000,000/year",Japanese,December 15,Spring (April)
Osaka University,BA Fine Arts,Bachelor's,4 Years,"¥535,800/year",English,February 15,Spring (April)
Tohoku University,BA English Literature,Bachelor's,4 Years,"¥800,000/year",English,December 15,Spring (April)
Technical University of Munich,BSc History,Bachelor's,3 Years,€0,English,July 15,Summer (April)
Ludwig Maximilian University of Munich,BA Computer Science,Bachelor's,4 Years,€300/semester,English,July 15,Summer (April)
RWTH Aachen University,BA Computer Science,Bachelor's,4 Years,€300/semester,English and German,July 15,Winter (October)
Humboldt University of Berlin,BEng Aerospace Engineering,Bachelor's,3.5 Years,"€3,000/year",English,July 15,Summer (April)
Free University of Berlin,BSc Data Science,Bachelor's,3 Years,"€3,000/year",English,July 15,Winter (October)
University of Oxford,BSc Nursing,Bachelor's,3 Years,"£32,000/year",English,January 31,Autumn (October)
University of Cambridge,BSc Finance,Bachelor's,4 Years,"£38,000/year",English,January 31,Autumn (October)
Imperial College London,BA Biomedical Science,Bachelor's,4 Years,"£25,000/year",English,October 15,Autumn (October)
UCL,BA Graphic Design,Bachelor's,3 Years,"£38,000/year",English,January 31,Autumn (September)
University of Edinburgh,BA Finance,Bachelor's,3 Years,"£9,250/year",English,January 31,Autumn (September)
King's College London,BEng Aerospace Engineering,Bachelor's,4 Years,"£28,500/year",English,January 31,Autumn (September)
University of Manchester,BSc Graphic Design,Bachelor's,4 Years,"£32,000/year",English,January 31,Autumn (September)
MIT,BA Computer Science,Bachelor's,4 Years,"$50,000/year",English,February 15,Fall (August)
Stanford University,BSc English Literature,Bachelor's,4 Years,"$45,000/year",English,November 1,Spring (January)
Harvard University,BA Physics,Bachelor's,4 Years,"$65,000/year",English,February 15,Fall (August)
Caltech,BA Sociology,Bachelor's,4 Years,"$60,000/year",English,November 1,Spring (January)
University of Chicago,BSc Computer Science,Bachelor's,4 Years,"$55,000/year",English,February 15,Fall (August)
Princeton University,BSc History,Bachelor's,4 Years,"$50,000/year",English,January 1,Spring (January)
Columbia University,BSc International Relations,Bachelor's,4 Years,"$55,000/year",English,January 1,Fall (August)
Yale University,BSc Economics,Bachelor's,4 Years,"$60,000/year",English,February 15,Fall (August)
Cornell University,BA Physics,Bachelor's,4 Years,"$60,000/year",English,November 1,Spring (January)
UC Berkeley,BSc Data Science,Bachelor's,4 Years,"$65,000/year",English,February 15,Fall (August)
University of Toronto,BSc Computer Science,Bachelor's,4 Years,"CAD 60,000/year",English,February 1,Winter (January)
McGill University,BSc Graphic Design,Bachelor's,4 Years,"CAD 40,000/year",English,January 15,Fall (September)
UBC,BSc Architecture,Bachelor's,4 Years,"CAD 40,000/year",French,January 15,Winter (January)
University of Montreal,BSc Biology,Bachelor's,4 Years,"CAD 60,000/year",French,January 15,Winter (January)
University of Alberta,BSc Data Science,Bachelor's,4 Years,"CAD 50,000/year",English,January 15,Winter (January)
McMaster University,BSc Public Health,Bachelor's,4 Years,"CAD 30,000/year",English,February 1,Winter (January)
University of Melbourne,BSc Political Science,Bachelor's,3 Years,"AUD 40,000/year",English,June 30,Semester 2 (July)
University of Sydney,BEng Mechanical Engineering,Bachelor's,3 Years,"AUD 40,000/year",English,November 30,Semester 1 (February)
UNSW Sydney,BA Public Health,Bachelor's,3 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
Australian National University,BEng Electrical Engineering,Bachelor's,4 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
Monash University,BA Finance,Bachelor's,4 Years,"AUD 35,000/year",English,November 30,Semester 1 (February)
University of Queensland,BSc History,Bachelor's,3 Years,"AUD 35,000/year",English,June 30,Semester 1 (February)
Delft University of Technology,BA Artificial Intelligence,Bachelor's,3 Years,"€20,000/year",Dutch,April 1,Autumn (September)
University of Amsterdam,BEng Aerospace Engineering,Bachelor's,3 Years,"€20,000/year",English,May 1,Autumn (September)
Wageningen University,BA Marketing,Bachelor's,3 Years,"€20,000/year",Dutch,April 1,Spring (February)
Leiden University,BSc Chemistry,Bachelor's,3 Years,"€20,000/year",Dutch,May 1,Autumn (September)
Erasmus University Rotterdam,BSc Artificial Intelligence,Bachelor's,3 Years,"€20,000/year",English,April 1,Autumn (September)
ETH Zurich,BA Psychology,Bachelor's,3 Years,CHF 800/semester,French,April 30,Autumn (September)
EPFL,BEng Civil Engineering,Bachelor's,3 Years,CHF 800/semester,French,April 30,Autumn (September)
University of Zurich,BSc Chemistry,Bachelor's,3 Years,"CHF 1,500/semester",French,April 30,Autumn (September)
University of Geneva,BSc Nursing,Bachelor's,3 Years,"CHF 1,500/semester",English,April 30,Autumn (September)
University of Bern,BSc Philosophy,Bachelor's,3 Years,CHF 800/semester,French,November 30,Autumn (September)
University of Barcelona,BSc Economics,Bachelor's,4 Years,"€2,500/year",English,July 15,Autumn (September)
Autonomous University of Madrid,BA Biology,Bachelor's,4 Years,"€2,500/year",English,July 15,Autumn (September)
Complutense University of Madrid,BSc Finance,Bachelor's,4 Years,"€4,000/year",Spanish,July 15,Autumn (September)
Pompeu Fabra University,BSc International Relations,Bachelor's,4 Years,"€4,000/year",Spanish,July 15,Autumn (September)
University of Navarra,BSc English Literature,Bachelor's,4 Years,"€1,000/year",English,June 30,Autumn (September)
Sorbonne University,BSc Physics,Bachelor's,3 Years,€243/year,English,January 15,Autumn (September)
Ecole Polytechnique,BSc Political Science,Bachelor's,3 Years,€170/year,English,January 15,Autumn (September)
Paris Sciences et Lettres,BSc Political Science,Bachelor's,3 Years,"€3,770/year",French and English,March 15,Autumn (September)
University of Paris,BSc Accounting,Bachelor's,3 Years,"€10,000/year",French,March 15,Autumn (September)
Sciences Po,BSc Fine Arts,Bachelor's,3 Years,"€3,770/year",French and English,March 15,Autumn (September)
University of Tokyo,BA Psychology,Bachelor's,4 Years,"¥535,800/year",Japanese,December 15,Autumn (September)
Kyoto University,BSc Biology,Bachelor's,4 Years,"¥800,000/year",English,February 15,Spring (April)
Tokyo Institute of Technology,BA Architecture,Bachelor's,4 Years,"¥535,800/year",Japanese,December 15,Spring (April)
Osaka University,BA Linguistics,Bachelor's,4 Years,"¥1,000,000/year",English,February 15,Spring (April)
Tohoku University,BSc Environmental Science,Bachelor's,4 Years,"¥1,000,000/year",English,December 15,Autumn (September)
Technical University of Munich,BA Physics,Bachelor's,3 Years,€152/semester,German,July 15,Summer (April)
Ludwig Maximilian University of Munich,BA Artificial Intelligence,Bachelor's,3.5 Years,€0,English and German,July 15,Summer (April)
RWTH Aachen University,BSc Nursing,Bachelor's,3.5 Years,€0,English and German,January 15,Summer (April)
Humboldt University of Berlin,BEng Software Engineering,Bachelor's,3 Years,€152/semester,German,January 15,Winter (October)
Free University of Berlin,BSc Chemistry,Bachelor's,3 Years,€300/semester,English,July 15,Winter (October)
University of Oxford,BA Computer Science,Bachelor's,3 Years,"£25,000/year",English,October 15,Autumn (October)
University of Cambridge,BSc Philosophy,Bachelor's,4 Years,"£38,000/year",English,October 15,Autumn (September)
Imperial College London,BSc Architecture,Bachelor's,3 Years,"£25,000/year",English,January 31,Autumn (September)
UCL,BSc Graphic Design,Bachelor's,3 Years,"£38,000/year",English,October 15,Autumn (September)
University of Edinburgh,BEng Aerospace Engineering,Bachelor's,4 Years,"£28,500/year",English,October 15,Autumn (October)
King's College London,BSc Physics,Bachelor's,4 Years,"£32,000/year",English,January 31,Autumn (October)
University of Manchester,BA Biology,Bachelor's,3 Years,"£25,000/year",English,October 15,Autumn (October)
MIT,BSc Economics,Bachelor's,4 Years,"$55,000/year",English,January 1,Fall (August)
Stanford University,BSc Fine Arts,Bachelor's,4 Years,"$60,000/year",English,January 1,Spring (January)
Harvard University,BA Philosophy,Bachelor's,4 Years,"$60,000/year",English,November 1,Spring (January)
Caltech,BSc Linguistics,Bachelor's,4 Years,"$65,000/year",English,February 15,Spring (January)
University of Chicago,BA Architecture,Bachelor's,4 Years,"$60,000/year",English,February 15,Spring (January)
Princeton University,BEng Civil Engineering,Bachelor's,4 Years,"$55,000/year",English,February 15,Fall (August)
Columbia University,BSc Marketing,Bachelor's,4 Years,"$45,000/year",English,January 1,Spring (January)
Yale University,BSc Artificial Intelligence,Bachelor's,4 Years,"$55,000/year",English,February 15,Fall (August)
Cornell University,BA Philosophy,Bachelor's,4 Years,"$60,000/year",English,January 1,Spring (January)
UC Berkeley,BA Fine Arts,Bachelor's,4 Years,"$45,000/year",English,January 1,Spring (January)
University of Toronto,BSc Environmental Science,Bachelor's,4 Years,"CAD 30,000/year",English,January 15,Winter (January)
McGill University,BA Chemistry,Bachelor's,4 Years,"CAD 50,000/year",French,February 1,Winter (January)
UBC,BSc Mathematics,Bachelor's,4 Years,"CAD 30,000/year",French,February 1,Fall (September)
University of Montreal,BSc Accounting,Bachelor's,4 Years,"CAD 60,000/year",French,January 15,Winter (January)
University of Alberta,BSc Linguistics,Bachelor's,4 Years,"CAD 50,000/year",French,January 15,Fall (September)
McMaster University,BSc Accounting,Bachelor's,4 Years,"CAD 60,000/year",English,January 15,Fall (September)
University of Melbourne,BSc Data Science,Bachelor's,4 Years,"AUD 40,000/year",English,June 30,Semester 1 (February)
University of Sydney,BA Public Health,Bachelor's,3 Years,"AUD 35,000/year",English,November 30,Semester 2 (July)
UNSW Sydney,BSc Biology,Bachelor's,4 Years,"AUD 40,000/year",English,November 30,Semester 1 (February)
Australian National University,BA Philosophy,Bachelor's,4 Years,"AUD 40,000/year",English,November 30,Semester 2 (July)
Monash University,BA Nursing,Bachelor's,3 Years,"AUD 45,000/year",English,June 30,Semester 2 (July)
University of Queensland,BEng Software Engineering,Bachelor's,3 Years,"AUD 45,000/year",English,June 30,Semester 1 (February)
Delft University of Technology,BA International Relations,Bachelor's,3 Years,"€10,000/year",English,April 1,Spring (February)
University of Amsterdam,BSc Environmental Science,Bachelor's,3 Years,"€2,530/year",English,May 1,Autumn (September)
Wageningen University,BA Biology,Bachelor's,3 Years,"€2,530/year",English,April 1,Autumn (September)
Leiden University,BA Psychology,Bachelor's,3 Years,"€2,530/year",Dutch,May 1,Spring (February)
Erasmus University Rotterdam,BSc Chemistry,Bachelor's,3 Years,"€2,530/year",English,April 1,Autumn (September)
ETH Zurich,BA Philosophy,Bachelor's,3 Years,CHF 730/semester,French,November 30,Spring (February)
EPFL,BSc Political Science,Bachelor's,3 Years,CHF 730/semester,German,April 30,Autumn (September)
University of Zurich,BSc Physics,Bachelor's,3 Years,CHF 730/semester,English,April 30,Autumn (September)
University of Geneva,BA Public Health,Bachelor's,3 Years,CHF 800/semester,French,April 30,Spring (February)
University of Bern,BSc Computer Science,Bachelor's,3 Years,CHF 730/semester,French,November 30,Autumn (September)
University of Barcelona,BA Environmental Science,Bachelor's,4 Years,"€4,000/year",Spanish,July 15,Autumn (September)
Autonomous University of Madrid,BA Architecture,Bachelor's,4 Years,"€2,500/year",Spanish,June 30,Autumn (September)
Complutense University of Madrid,BSc Sociology,Bachelor's,4 Years,"€4,000/year",Spanish,June 30,Autumn (September)
Pompeu Fabra University,BSc Linguistics,Bachelor's,4 Years,"€1,000/year",English,July 15,Autumn (September)
University of Navarra,BEng Software Engineering,Bachelor's,4 Years,"€4,000/year",English,June 30,Autumn (September)
Sorbonne University,BSc Fine Arts,Bachelor's,3 Years,"€2,770/year",French,March 15,Autumn (September)
Ecole Polytechnique,BSc Accounting,Bachelor's,3 Years,€170/year,French,March 15,Autumn (September)
Paris Sciences et Lettres,BSc Business Administration,Bachelor's,3 Years,"€3,770/year",French,January 15,Autumn (September)
University of Paris,BA History,Bachelor's,3 Years,€170/year,English,January 15,Autumn (September)
Sciences Po,BSc Political Science,Bachelor's,3 Years,"€3,770/year",French,March 15,Autumn (September)
University of Tokyo,BA Economics,Bachelor's,4 Years,"¥1,000,000/year",Japanese,February 15,Autumn (September)
Kyoto University,BA History,Bachelor's,4 Years,"¥535,800/year",Japanese,February 15,Spring (April)
Tokyo Institute of Technology,BA Graphic Design,Bachelor's,4 Years,"¥800,000/year",English,February 15,Autumn (September)
Osaka University,BA Biology,Bachelor's,4 Years,"¥1,000,000/year",English,December 15,Spring (April)
Tohoku University,BA Linguistics,Bachelor's,4 Years,"¥535,800/year",English,February 15,Spring (April)
Technical University of Munich,BSc Physics,Bachelor's,4 Years,€152/semester,English,July 15,Summer (April)
Ludwig Maximilian University of Munich,BSc Artificial Intelligence,Bachelor's,3 Years,"€3,000/year",German,July 15,Summer (April)
RWTH Aachen University,BSc Graphic Design,Bachelor's,3.5 Years,"€1,500/semester",English,July 15,Winter (October)
Humboldt University of Berlin,BEng Civil Engineering,Bachelor's,4 Years,€300/semester,English and German,January 15,Summer (April)
Free University of Berlin,BA Marketing,Bachelor's,4 Years,€152/semester,English and German,July 15,Summer (April)
University of Oxford,BEng Aerospace Engineering,Bachelor's,4 Years,"£22,000/year",English,January 31,Autumn (October)
University of Cambridge,BSc Public Health,Bachelor's,3 Years,"£38,000/year",English,October 15,Autumn (October)
Imperial College London,BSc Graphic Design,Bachelor's,3 Years,"£32,000/year",English,January 31,Autumn (October)
UCL,BA Economics,Bachelor's,3 Years,"£28,500/year",English,January 31,Autumn (September)
University of Edinburgh,BSc Philosophy,Bachelor's,4 Years,"£25,000/year",English,January 31,Autumn (September)
King's College London,BSc History,Bachelor's,3 Years,"£38,000/year",English,October 15,Autumn (October)
University of Manchester,BEng Mechanical Engineering,Bachelor's,4 Years,"£25,000/year",English,October 15,Autumn (September)
MIT,BA Artificial Intelligence,Bachelor's,4 Years,"$60,000/year",English,January 1,Spring (January)
Stanford University,BSc Physics,Bachelor's,4 Years,"$45,000/year",English,November 1,Spring (January)
Harvard University,BSc Public Health,Bachelor's,4 Years,"$55,000/year",English,February 15,Spring (January)
Caltech,BSc Biomedical Science,Bachelor's,4 Years,"$55,000/year",English,November 1,Fall (August)
University of Chicago,BEng Electrical Engineering,Bachelor's,4 Years,"$55,000/year",English,November 1,Fall (August)
Princeton University,BSc Business Administration,Bachelor's,4 Years,"$55,000/year",English,November 1,Spring (January)
Columbia University,BSc Political Science,Bachelor's,4 Years,"$45,000/year",English,February 15,Fall (August)
Yale University,BSc Biomedical Science,Bachelor's,4 Years,"$50,000/year",English,February 15,Spring (January)
Cornell University,BSc Chemistry,Bachelor's,4 Years,"$50,000/year",English,November 1,Spring (January)
UC Berkeley,BSc Computer Science,Bachelor's,4 Years,"$55,000/year",English,November 1,Fall (August)
University of Toronto,BA International Relations,Bachelor's,4 Years,"CAD 40,000/year",English,February 1,Fall (September)
McGill University,BSc Biomedical Science,Bachelor's,4 Years,"CAD 60,000/year",French,February 1,Winter (January)
UBC,BEng Civil Engineering,Bachelor's,4 Years,"CAD 60,000/year",English,January 15,Fall (September)
University of Montreal,BSc Marketing,Bachelor's,4 Years,"CAD 60,000/year",English,January 15,Winter (January)
University of Alberta,BSc International Relations,Bachelor's,4 Years,"CAD 30,000/year",English,February 1,Fall (September)
McMaster University,BA International Relations,Bachelor's,4 Years,"CAD 40,000/year",English,January 15,Fall (September)
University of Melbourne,BSc Economics,Bachelor's,4 Years,"AUD 50,000/year",English,June 30,Semester 1 (February)
University of Sydney,BA Economics,Bachelor's,3 Years,"AUD 40,000/year",English,June 30,Semester 1 (February)
UNSW Sydney,BSc Data Science,Bachelor's,4 Years,"AUD 50,000/year",English,November 30,Semester 1 (February)
Australian National University,BSc International Relations,Bachelor's,3 Years,"AUD 35,000/year",English,June 30,Semester 1 (February)
Monash University,BSc Business Administration,Bachelor's,4 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
University of Queensland,BSc Computer Science,Bachelor's,4 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
Delft University of Technology,BSc International Relations,Bachelor's,3 Years,"€20,000/year",English,May 1,Spring (February)
University of Amsterdam,BA Business Administration,Bachelor's,3 Years,"€20,000/year",Dutch,April 1,Autumn (September)
Wageningen University,BSc Business Administration,Bachelor's,3 Years,"€20,000/year",English,May 1,Spring (February)
Leiden University,BSc Data Science,Bachelor's,3 Years,"€2,530/year",Dutch,May 1,Spring (February)
Erasmus University Rotterdam,BSc Nursing,Bachelor's,3 Years,"€2,530/year",Dutch,May 1,Autumn (September)
ETH Zurich,BEng Electrical Engineering,Bachelor's,3 Years,CHF 730/semester,English,April 30,Spring (February)
EPFL,BSc Finance,Bachelor's,3 Years,CHF 800/semester,English,April 30,Autumn (September)
University of Zurich,BA Psychology,Bachelor's,3 Years,CHF 730/semester,English,April 30,Autumn (September)
University of Geneva,BSc Artificial Intelligence,Bachelor's,3 Years,CHF 730/semester,English,November 30,Spring (February)
University of Bern,BSc History,Bachelor's,3 Years,CHF 800/semester,German,April 30,Autumn (September)
University of Barcelona,BA International Relations,Bachelor's,4 Years,"€4,000/year",English,June 30,Autumn (September)
Autonomous University of Madrid,BSc Computer Science,Bachelor's,4 Years,"€6,000/year",Spanish,June 30,Autumn (September)
Complutense University of Madrid,BA Graphic Design,Bachelor's,4 Years,"€4,000/year",Spanish,June 30,Autumn (September)
Pompeu Fabra University,BA Biomedical Science,Bachelor's,4 Years,"€2,500/year",Spanish,June 30,Autumn (September)
University of Navarra,BSc Architecture,Bachelor's,4 Years,"€6,000/year",Spanish,July 15,Autumn (September)
Sorbonne University,BA Economics,Bachelor's,3 Years,€243/year,French,January 15,Autumn (September)
Ecole Polytechnique,BSc Fine Arts,Bachelor's,3 Years,"€3,770/year",French,March 15,Autumn (September)
Paris Sciences et Lettres,BEng Aerospace Engineering,Bachelor's,3 Years,"€3,770/year",French and English,January 15,Autumn (September)
University of Paris,BSc Nursing,Bachelor's,3 Years,€170/year,English,March 15,Autumn (September)
Sciences Po,BSc Public Health,Bachelor's,3 Years,€170/year,French,January 15,Autumn (September)
University of Tokyo,BEng Civil Engineering,Bachelor's,4 Years,"¥800,000/year",English,December 15,Spring (April)
Kyoto University,BA Biology,Bachelor's,4 Years,"¥1,000,000/year",English,December 15,Spring (April)
Tokyo Institute of Technology,BEng Aerospace Engineering,Bachelor's,4 Years,"¥1,000,000/year",English,February 15,Autumn (September)
Osaka University,BSc International Relations,Bachelor's,4 Years,"¥535,800/year",English,December 15,Autumn (September)
Tohoku University,BSc Finance,Bachelor's,4 Years,"¥535,800/year",English,February 15,Autumn (September)
Technical University of Munich,BSc Biomedical Science,Bachelor's,3 Years,€0,English,January 15,Summer (April)
Ludwig Maximilian University of Munich,BSc Physics,Bachelor's,3 Years,"€3,000/year",English and German,July 15,Winter (October)
RWTH Aachen University,BEng Software Engineering,Bachelor's,4 Years,€300/semester,German,January 15,Winter (October)
Humboldt University of Berlin,BA Nursing,Bachelor's,4 Years,"€3,000/year",English,July 15,Winter (October)
Free University of Berlin,BA Philosophy,Bachelor's,4 Years,"€3,000/year",English and German,July 15,Summer (April)
University of Oxford,BSc Environmental Science,Bachelor's,4 Years,"£22,000/year",English,October 15,Autumn (September)
University of Cambridge,BSc Philosophy,Bachelor's,4 Years,"£9,250/year",English,October 15,Autumn (September)
Imperial College London,BSc Biology,Bachelor's,4 Years,"£38,000/year",English,January 31,Autumn (October)
UCL,BA Linguistics,Bachelor's,4 Years,"£9,250/year",English,October 15,Autumn (October)
University of Edinburgh,BA Business Administration,Bachelor's,4 Years,"£22,000/year",English,January 31,Autumn (October)
King's College London,BSc Biology,Bachelor's,4 Years,"£9,250/year",English,January 31,Autumn (October)
University of Manchester,BA Business Administration,Bachelor's,4 Years,"£22,000/year",English,January 31,Autumn (September)
MIT,BA English Literature,Bachelor's,4 Years,"$60,000/year",English,February 15,Spring (January)
Stanford University,BSc Sociology,Bachelor's,4 Years,"$65,000/year",English,November 1,Fall (August)
Harvard University,BA Mathematics,Bachelor's,4 Years,"$55,000/year",English,January 1,Fall (August)
Caltech,BSc Environmental Science,Bachelor's,4 Years,"$50,000/year",English,February 15,Fall (August)
University of Chicago,BA International Relations,Bachelor's,4 Years,"$50,000/year",English,January 1,Fall (August)
Princeton University,BSc Artificial Intelligence,Bachelor's,4 Years,"$65,000/year",English,November 1,Fall (August)
Columbia University,BEng Aerospace Engineering,Bachelor's,4 Years,"$50,000/year",English,February 15,Spring (January)
Yale University,BA Environmental Science,Bachelor's,4 Years,"$50,000/year",English,February 15,Spring (January)
Cornell University,BA Mathematics,Bachelor's,4 Years,"$60,000/year",English,January 1,Fall (August)
UC Berkeley,BA International Relations,Bachelor's,4 Years,"$45,000/year",English,February 15,Fall (August)
University of Toronto,BEng Mechanical Engineering,Bachelor's,4 Years,"CAD 35,000/year",English,January 15,Winter (January)
McGill University,BSc Computer Science,Bachelor's,4 Years,"CAD 60,000/year",English,February 1,Winter (January)
