"Program Name","Level","Duration","Tuition Fee","Entry Requirements","Special Exams","Location","Start Date","Application Deadline","Application Fee","Servıce Fee","Program Language","University Name","CSCA Exam Required"
"Clinical discipline of Chinese and western integrative Medicine","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Nutrition and Food Hygiene","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Maternal, Child and Adolescent health","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Drama and Film-and-Television Literature","Bachelor","4 Years","RMB 23,600 per year","Under 40 years old; High school graduate; Original HSK level 5 or equivalent; Applicants under 18 need submit the guarantee letter of the guardian.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 85","USD 100","Chinese","Capital Normal University","N/A"
"International Chinese Education","Bachelor","4 Years","RMB 23,600 per year","Under 40 years old; High school graduate; Original HSK level 5 or equivalent; Applicants under 18 need submit the guarantee letter of the guardian.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 85 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"History (Base classes)","Bachelor","4 Years","RMB 23,600 per year","Under 40 years old; High school graduate; Original HSK level 5 or equivalent; Applicants under 18 need submit the guarantee letter of the guardian.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 85","USD 100","Chinese","Capital Normal University","N/A"
"Culture Industry Management","Bachelor","4 Years","RMB 23,600 per year","Under 40 years old; High school graduate; Original HSK level 5 or equivalent; Applicants under 18 need submit the guarantee letter of the guardian.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 92","USD 54","Chinese","Capital Normal University","N/A"
"History (Management of City Traditions and City Culture)","Bachelor","4 Years","RMB 23,600 per year","Under 40 years old; High school graduate; Original HSK level 5 or equivalent; Applicants under 18 need submit the guarantee letter of the guardian.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 85 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Marxist Philosophy","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"Chinese Philosophy","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Logic","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Philosophy of Science and Technology","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Political Theory","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Religion","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"The History of the Communist Party of China","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Scientific Socialism and the International Communist Movement","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"Chinese and Foreign Political System","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 164","USD 54","Chinese","Capital Normal University","N/A"
"International Relations","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"International Politics","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Diplomacy","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Study of Marxism in China","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"The Basic Principles of Marxism","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"The History of Development of Marxism","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Ideological and Political Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Study of Marxism in Foreign Countries","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Principles of Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Early Childhood Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"History of Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Higher Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Adult Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Vocational and Technical Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Special Education","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Educational Technology","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 164","USD 54","Chinese","Capital Normal University","N/A"
"Literature and Art","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 164","USD 54","Chinese","Capital Normal University","N/A"
"Linguistics and Applied Linguistics","Master","3 Years","RMB 27,600 Per Year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 164","USD 54","Chinese","Capital Normal University","N/A"
"Chinese Language and Characters","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"Classical Chinese Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Ancient Chinese Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Television Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"The Theory of History and Historical Science","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Modern and Cotemporary Chinese Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Specialized History","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"The History of Modern China","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150","USD 100","Chinese","Capital Normal University","N/A"
"Historical Philology","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Historical Geography","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Global History","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"The History of International Relations","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"Curriculum and Teaching Theory","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2023","Jun 30, 2023","USD 164","USD 54","Chinese","Capital Normal University","N/A"
"French Language and Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Russian Language and Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Indian Language and Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2021","Jun 15, 2021","USD 150 (Non-Refundable)","USD 100 (Non-Refundable)","Chinese","Capital Normal University","N/A"
"German Language and Literature","Master","3 Years","RMB 27,600 per year","Under age of 40; Bachelor degree or above; HSK 5 or equivalent.","N/A","N/A","Sep 1, 2026","Jun 30, 2026","USD 113","USD 100","Chinese","Capital Normal University","N/A"
"Winter Short-term Program","Non-degree","4 Weeks","RMB 3,300 in total","Non-Chinese citizen in good health; Age 16 years old above; If under 18, must find a Chinese guardian in Shanghai.","N/A","Shanghai","Jan 8, 2021","Nov 30, 2021","USD 82","USD 54","Chinese","East China University of Science and Technology","No"
"General Chinese Language Program","Non-degree","1 Semester","RMB 9,000 in total (About $ 1,837)","Non-Chinese citizens currently in China, aged between 18-60 years old and in good physical and psychological health.","N/A","Campus of East China University of Science and Technology, 130 Meilong Rd.Xuhui District, Shanghai","Sep 13, 2022","Sep 30, 2022","USD 82","USD 54","Chinese","East China University of Science and Technology","N/A"
"Polymer Materials & Engineering","Bachelor","4 Years","RMB 22,000 per year","Applicants must be non-Chinese citizens and in good health, hold a high school degree or above. Applicants must be aged over 16, those who are under 18 before August 31 of the application year, please submit GUARANTEE STATEMENT. Applicants must comply with the regulations (JW〔2020〕No. 12) issued by Ministry of Education of People’s Republic of China. Applicants who immigrated to other countries from the Mainland China, Hong Kong, Macao or Taiwan and acquired foreign nationality; or applicants whose parents are both Chinese nationals and have both settled abroad, or one of whose parents is a Chinese national and has settled abroad, thus has acquired foreign nationality at birth applying to study at universities or junior colleges as international students, should satisfy the following additional requirements: the applicants must hold valid foreign passport or other relevant international recognized documents for at least 4 years; meanwhile, in the latest 4 years (by each April 30th of the year of University registration), the applicants must live overseas for 2 years (living overseas for 9 months can be converted to 1 year, which is subject to the exit-entry stamp on visa). Proof of Chinese or English language proficiency (certificates obtained on and after September 1st 2021 is valid). Chinese-taught Programs: minimum request of HSK4 (a score of 210 or above for business/liberal/arts programs and a score of 190 or above for Engineering/Science programs). Those who are taught in Chinese in high school can provide the school certificate for exemption from HSK scores.","N/A","N/A","Sep 8, 2024","Jul 20, 2024","USD 123","USD 54","Chinese","East China University of Science and Technology","N/A"
"Light Chemical Engineering","Bachelor","4 Years","RMB 22,000 per year","Non-Chinese citizen in good health; between the ages of 18 and 35 years; holding a high school degree or above. HSK level 4 with a score of 190 or above for Engineering/Science degree enrollees.","HSK","East China University of Science and Technology","Sep 8, 2022","Jun 30, 2022","USD 123","USD 54","Chinese","East China University of Science and Technology","N/A"
"Electrical Engineering and Automation","Bachelor","4 Years","RMB 22,000 per year","Applicants holding valid foreign passports and in good health, with a high school degree or above. Be aged over 16, those who are under 18 before August 31 of the application year, please visit Download to download and submit GUARANTEE STATEMENT. Comply with the regulations (JW〔2020〕No. 12) issued by Ministry of Education of People’s Republic of China. Applicants should meet the following language requirements: Chinese-taught Programs: minimum requirements of HSK 4 (190 or above for science and engineering majors, 210 or above for humanities and business majors, 60 or above in writing). Those who've been granted previous degrees from Chinese-taught programs are exempted from HSK requirements.","CSCA Test Required","N/A","Sep 1, 2026","Jul 10, 2026","USD 85","USD 100","Chinese","East China University of Science and Technology","Yes"
"Mechanical Engineering and Automation","Bachelor","4 Years","RMB 22,000 per year","1. Applicants must be holding a high school degree or above, non-Chinese citizens and in good health. 2. Applicants must be aged between 18 and 35; those who are under 18 should provide certificate of guardian who is in China. 3. Applicants should meet the language requirements: Chinese-taught Program: minimum requirements of HSK4 (a score of 210 or above for business/liberal/arts programs and a score of 190 or above for Engineering/Science programs). Those who is taught in Chinese in high school can provide the certificate for exemption from HSK scores.","HSK4","East China University of Science and Technology","Sep 8, 2023","Jul 20, 2023","USD 123","USD 54","Chinese","East China University of Science and Technology","No"
