University Name,Program Name,Level,Duration,Tuition Fee,Program Language,Application Deadline,Start Date
University of Alberta,MSc Advanced Manufacturing,Master's,2 Years,"CAD 40,000/year",French,March 15,Winter (January)
McMaster University,MA Global Affairs,Master's,1 Year,"CAD 40,000/year",English,February 1,Fall (September)
University of Melbourne,MEng Biomedical Engineering,Master's,1.5 Years,"AUD 35,000/year",English,April 30,Semester 2 (July)
University of Sydney,MSc Advanced Material Science,Master's,1.5 Years,"AUD 45,000/year",English,April 30,Semester 2 (July)
UNSW Sydney,MSc Advanced Material Science,Master's,1.5 Years,"AUD 45,000/year",English,April 30,Semester 1 (February)
Australian National University,MSc Public Policy,Master's,2 Years,"AUD 50,000/year",English,October 31,Semester 1 (February)
Monash University,MEng Renewable Energy Engineering,Master's,2 Years,"AUD 35,000/year",English,April 30,Semester 1 (February)
University of Queensland,MSc Machine Learning,Master's,2 Years,"AUD 35,000/year",English,October 31,Semester 1 (February)
Delft University of Technology,MA Quantitative Finance,Master's,2 Years,"€10,000/year",Dutch,June 1,Autumn (September)
University of Amsterdam,MSc Clinical Psychology,Master's,2 Years,"€15,000/year",Dutch,April 1,Autumn (September)
Wageningen University,MEng Renewable Energy Engineering,Master's,1 Year,"€15,000/year",English,June 1,Autumn (September)
Leiden University,MSc MBA,Master's,2 Years,"€20,000/year",Dutch,April 1,Spring (February)
Erasmus University Rotterdam,MA Machine Learning,Master's,2 Years,"€10,000/year",English,April 1,Spring (February)
ETH Zurich,MA Quantum Physics,Master's,2 Years,CHF 730/semester,German,April 30,Autumn (September)
EPFL,MSc Data Science and AI,Master's,2 Years,CHF 800/semester,German,February 28,Autumn (September)
University of Zurich,MSc Mechatronics,Master's,1.5 Years,"CHF 1,500/semester",German,April 30,Spring (February)
University of Geneva,MA Sustainable Architecture,Master's,2 Years,CHF 800/semester,French,February 28,Autumn (September)
University of Bern,MEng Biomedical Engineering,Master's,1.5 Years,CHF 800/semester,English,April 30,Spring (February)
University of Barcelona,MA Applied Mathematics,Master's,2 Years,"€4,000/year",Spanish,September 1,Autumn (September)
Autonomous University of Madrid,MA Quantum Physics,Master's,1 Year,"€1,000/year",Spanish,June 1,Autumn (September)
Complutense University of Madrid,MEng Software Systems Engineering,Master's,2 Years,"€6,000/year",Spanish,June 1,Autumn (September)
Pompeu Fabra University,MSc Molecular Biology,Master's,1 Year,"€2,500/year",English,June 1,Autumn (September)
University of Navarra,MSc Health Informatics,Master's,1 Year,"€6,000/year",English,June 1,Autumn (September)
Sorbonne University,MSc Health Informatics,Master's,2 Years,"€10,000/year",French and English,March 31,Autumn (September)
Ecole Polytechnique,MA Advanced Material Science,Master's,2 Years,"€10,000/year",French and English,March 31,Autumn (September)
Paris Sciences et Lettres,MSc Clinical Psychology,Master's,2 Years,"€2,770/year",French,May 31,Autumn (September)
University of Paris,MA Quantitative Finance,Master's,2 Years,"€2,770/year",English,March 31,Autumn (September)
Sciences Po,MA Advanced Material Science,Master's,2 Years,€243/year,French,March 31,Autumn (September)
University of Tokyo,MSc Global Affairs,Master's,2 Years,"¥1,000,000/year",English,August 31,Spring (April)
Kyoto University,MEng Biomedical Engineering,Master's,2 Years,"¥800,000/year",English,August 31,Autumn (September)
Tokyo Institute of Technology,MA Advanced Manufacturing,Master's,2 Years,"¥535,800/year",Japanese,August 31,Spring (April)
Osaka University,MSc Urban Planning,Master's,2 Years,"¥800,000/year",Japanese,January 31,Spring (April)
Tohoku University,MA Data Science and AI,Master's,2 Years,"¥1,000,000/year",Japanese,January 31,Spring (April)
Technical University of Munich,MA Quantitative Finance,Master's,1.5 Years,"€3,000/year",English,May 31,Winter (October)
Ludwig Maximilian University of Munich,MEng Software Systems Engineering,Master's,1.5 Years,€300/semester,English,May 31,Winter (October)
RWTH Aachen University,MA Global Affairs,Master's,2 Years,"€3,000/year",English and German,May 31,Summer (April)
Humboldt University of Berlin,MSc Robotics,Master's,2 Years,"€3,000/year",German,November 30,Winter (October)
Free University of Berlin,MSc Data Science and AI,Master's,1.5 Years,"€3,000/year",English,May 31,Winter (October)
University of Oxford,MSc Strategic Management,Master's,1 Year,"£38,000/year",English,June 30,Autumn (September)
University of Cambridge,MA International Business,Master's,1 Year,"£22,000/year",English,March 1,Autumn (October)
Imperial College London,MSc Quantum Physics,Master's,2 Years,"£22,000/year",English,March 1,Autumn (October)
UCL,MSc Data Science and AI,Master's,2 Years,"£22,000/year",English,March 1,Autumn (October)
University of Edinburgh,MSc Advanced Manufacturing,Master's,2 Years,"£28,500/year",English,March 1,Autumn (September)
King's College London,MSc Quantitative Finance,Master's,1 Year,"£28,500/year",English,March 1,Autumn (October)
University of Manchester,MEng Renewable Energy Engineering,Master's,2 Years,"£32,000/year",English,June 30,Autumn (October)
MIT,MSc Behavioral Economics,Master's,2 Years,"$55,000/year",English,December 15,Fall (August)
Stanford University,MSc Quantum Physics,Master's,2 Years,"$65,000/year",English,January 15,Fall (August)
Harvard University,MA Urban Planning,Master's,2 Years,"$55,000/year",English,December 15,Fall (August)
Caltech,MSc Business Analytics,Master's,2 Years,"$65,000/year",English,December 15,Fall (August)
University of Chicago,MSc Climate Science,Master's,2 Years,"$50,000/year",English,January 15,Spring (January)
Princeton University,MEng Software Systems Engineering,Master's,1.5 Years,"$50,000/year",English,January 15,Spring (January)
Columbia University,MEng Renewable Energy Engineering,Master's,2 Years,"$45,000/year",English,December 15,Spring (January)
Yale University,MSc Applied Mathematics,Master's,2 Years,"$60,000/year",English,January 15,Spring (January)
Cornell University,MA Machine Learning,Master's,1.5 Years,"$60,000/year",English,January 15,Fall (August)
UC Berkeley,MSc Health Informatics,Master's,1.5 Years,"$45,000/year",English,December 15,Spring (January)
University of Toronto,MSc Applied Mathematics,Master's,2 Years,"CAD 60,000/year",English,March 15,Winter (January)
McGill University,MSc Supply Chain Management,Master's,1 Year,"CAD 40,000/year",English,February 1,Fall (September)
UBC,MEng Renewable Energy Engineering,Master's,2 Years,"CAD 40,000/year",French,February 1,Winter (January)
University of Montreal,MSc Sustainable Architecture,Master's,1 Year,"CAD 30,000/year",English,February 1,Fall (September)
University of Alberta,MA Molecular Biology,Master's,1 Year,"CAD 60,000/year",English,February 1,Fall (September)
McMaster University,MA Mechatronics,Master's,1 Year,"CAD 60,000/year",French,February 1,Fall (September)
University of Melbourne,MA Business Analytics,Master's,1.5 Years,"AUD 50,000/year",English,April 30,Semester 2 (July)
University of Sydney,MSc Business Analytics,Master's,1.5 Years,"AUD 45,000/year",English,October 31,Semester 1 (February)
UNSW Sydney,MSc Applied Mathematics,Master's,1.5 Years,"AUD 50,000/year",English,October 31,Semester 2 (July)
Australian National University,MSc Climate Science,Master's,2 Years,"AUD 40,000/year",English,October 31,Semester 1 (February)
Monash University,MEng Renewable Energy Engineering,Master's,1.5 Years,"AUD 50,000/year",English,April 30,Semester 1 (February)
University of Queensland,MSc Behavioral Economics,Master's,1.5 Years,"AUD 50,000/year",English,October 31,Semester 1 (February)
Delft University of Technology,MSc Data Science and AI,Master's,2 Years,"€20,000/year",English,April 1,Autumn (September)
University of Amsterdam,MSc International Business,Master's,2 Years,"€2,530/year",Dutch,June 1,Autumn (September)
Wageningen University,MSc Advanced Manufacturing,Master's,1 Year,"€20,000/year",Dutch,June 1,Spring (February)
Leiden University,MEng Software Systems Engineering,Master's,1 Year,"€20,000/year",English,June 1,Autumn (September)
Erasmus University Rotterdam,MEng Renewable Energy Engineering,Master's,2 Years,"€20,000/year",English,April 1,Spring (February)
ETH Zurich,MEng Renewable Energy Engineering,Master's,2 Years,"CHF 1,500/semester",English,April 30,Spring (February)
EPFL,MSc Public Policy,Master's,1.5 Years,CHF 730/semester,French,April 30,Autumn (September)
University of Zurich,MSc Machine Learning,Master's,1.5 Years,"CHF 1,500/semester",German,April 30,Autumn (September)
University of Geneva,MA Sustainable Architecture,Master's,1.5 Years,"CHF 1,500/semester",German,April 30,Spring (February)
University of Bern,MA Health Informatics,Master's,2 Years,"CHF 1,500/semester",German,February 28,Spring (February)
University of Barcelona,MEng Renewable Energy Engineering,Master's,2 Years,"€4,000/year",Spanish,June 1,Autumn (September)
Autonomous University of Madrid,MSc Supply Chain Management,Master's,1 Year,"€6,000/year",Spanish,June 1,Autumn (September)
Complutense University of Madrid,MA Sustainable Architecture,Master's,1 Year,"€4,000/year",Spanish,June 1,Autumn (September)
Pompeu Fabra University,MEng Renewable Energy Engineering,Master's,1 Year,"€1,000/year",Spanish,September 1,Autumn (September)
University of Navarra,MSc Business Analytics,Master's,1 Year,"€2,500/year",English,June 1,Autumn (September)
Sorbonne University,MSc Behavioral Economics,Master's,2 Years,"€2,770/year",French and English,March 31,Autumn (September)
Ecole Polytechnique,MSc Mechatronics,Master's,2 Years,€243/year,French,May 31,Autumn (September)
Paris Sciences et Lettres,MSc Global Affairs,Master's,2 Years,"€2,770/year",French and English,May 31,Autumn (September)
University of Paris,MSc Supply Chain Management,Master's,2 Years,€170/year,English,May 31,Autumn (September)
Sciences Po,MSc Cybersecurity,Master's,2 Years,"€10,000/year",French,March 31,Autumn (September)
University of Tokyo,MA Health Informatics,Master's,2 Years,"¥800,000/year",English,January 31,Autumn (September)
Kyoto University,MA Quantitative Finance,Master's,2 Years,"¥535,800/year",Japanese,January 31,Autumn (September)
Tokyo Institute of Technology,MA Behavioral Economics,Master's,2 Years,"¥535,800/year",Japanese,August 31,Spring (April)
Osaka University,MSc Quantitative Finance,Master's,2 Years,"¥535,800/year",Japanese,August 31,Spring (April)
Tohoku University,MA Applied Mathematics,Master's,2 Years,"¥800,000/year",English,August 31,Spring (April)
Technical University of Munich,MSc Clinical Psychology,Master's,1.5 Years,€300/semester,English and German,November 30,Winter (October)
Ludwig Maximilian University of Munich,MA Quantum Physics,Master's,1.5 Years,"€1,500/semester",English,May 31,Winter (October)
RWTH Aachen University,MSc Sustainable Architecture,Master's,2 Years,€300/semester,English and German,May 31,Summer (April)
Humboldt University of Berlin,MSc Behavioral Economics,Master's,1.5 Years,"€3,000/year",English,May 31,Winter (October)
Free University of Berlin,MSc Sustainable Architecture,Master's,1.5 Years,€0,English,May 31,Summer (April)
University of Oxford,MSc Mechatronics,Master's,2 Years,"£32,000/year",English,March 1,Autumn (October)
University of Cambridge,MA Molecular Biology,Master's,1 Year,"£28,500/year",English,March 1,Autumn (October)
Imperial College London,MA MBA,Master's,2 Years,"£25,000/year",English,March 1,Autumn (October)
UCL,MSc Cybersecurity,Master's,2 Years,"£38,000/year",English,March 1,Autumn (September)
University of Edinburgh,MSc Behavioral Economics,Master's,1 Year,"£25,000/year",English,March 1,Autumn (October)
King's College London,MSc Robotics,Master's,2 Years,"£32,000/year",English,June 30,Autumn (September)
University of Manchester,MSc International Business,Master's,1 Year,"£25,000/year",English,June 30,Autumn (September)
MIT,MEng Software Systems Engineering,Master's,1.5 Years,"$65,000/year",English,December 15,Spring (January)
Stanford University,MSc Digital Humanities,Master's,2 Years,"$45,000/year",English,December 15,Fall (August)
Harvard University,MA Data Science and AI,Master's,2 Years,"$55,000/year",English,January 15,Fall (August)
Caltech,MSc Machine Learning,Master's,1.5 Years,"$50,000/year",English,December 15,Spring (January)
University of Chicago,MSc Quantum Physics,Master's,2 Years,"$45,000/year",English,December 15,Spring (January)
Princeton University,MSc Data Science and AI,Master's,1.5 Years,"$50,000/year",English,January 15,Fall (August)
Columbia University,MEng Renewable Energy Engineering,Master's,1.5 Years,"$45,000/year",English,December 15,Fall (August)
Yale University,MSc Applied Mathematics,Master's,2 Years,"$50,000/year",English,December 15,Spring (January)
Cornell University,MA Cybersecurity,Master's,1.5 Years,"$65,000/year",English,December 15,Spring (January)
UC Berkeley,MA Data Science and AI,Master's,1.5 Years,"$45,000/year",English,January 15,Fall (August)
University of Toronto,MA Advanced Material Science,Master's,1 Year,"CAD 30,000/year",French,March 15,Fall (September)
McGill University,MSc Public Policy,Master's,1 Year,"CAD 60,000/year",English,March 15,Fall (September)
UBC,MA Robotics,Master's,1 Year,"CAD 35,000/year",English,February 1,Fall (September)
University of Montreal,MSc Robotics,Master's,2 Years,"CAD 40,000/year",French,February 1,Fall (September)
University of Alberta,MSc Data Science and AI,Master's,1 Year,"CAD 40,000/year",English,March 15,Fall (September)
McMaster University,MSc Clinical Psychology,Master's,2 Years,"CAD 40,000/year",French,March 15,Fall (September)
University of Melbourne,MSc Mechatronics,Master's,1.5 Years,"AUD 35,000/year",English,April 30,Semester 1 (February)
University of Sydney,MSc Mechatronics,Master's,2 Years,"AUD 50,000/year",English,April 30,Semester 2 (July)
UNSW Sydney,MEng Software Systems Engineering,Master's,1.5 Years,"AUD 40,000/year",English,April 30,Semester 1 (February)
Australian National University,MSc Clinical Psychology,Master's,1.5 Years,"AUD 45,000/year",English,October 31,Semester 2 (July)
Monash University,MSc Behavioral Economics,Master's,2 Years,"AUD 45,000/year",English,October 31,Semester 1 (February)
University of Queensland,MSc Data Science and AI,Master's,2 Years,"AUD 35,000/year",English,October 31,Semester 1 (February)
Delft University of Technology,MSc Business Analytics,Master's,1 Year,"€2,530/year",Dutch,April 1,Autumn (September)
University of Amsterdam,MA Health Informatics,Master's,2 Years,"€15,000/year",Dutch,April 1,Autumn (September)
Wageningen University,MA Cybersecurity,Master's,2 Years,"€20,000/year",Dutch,June 1,Spring (February)
Leiden University,MSc Robotics,Master's,2 Years,"€10,000/year",Dutch,June 1,Autumn (September)
Erasmus University Rotterdam,MA Mechatronics,Master's,1 Year,"€10,000/year",English,April 1,Autumn (September)
ETH Zurich,MSc Machine Learning,Master's,1.5 Years,CHF 800/semester,English,April 30,Spring (February)
EPFL,MSc Digital Humanities,Master's,1.5 Years,CHF 730/semester,German,April 30,Autumn (September)
University of Zurich,MEng Software Systems Engineering,Master's,2 Years,"CHF 1,500/semester",English,April 30,Autumn (September)
University of Geneva,MSc Robotics,Master's,1.5 Years,CHF 730/semester,English,February 28,Autumn (September)
University of Bern,MSc Robotics,Master's,1.5 Years,"CHF 1,500/semester",English,April 30,Autumn (September)
University of Barcelona,MA Clinical Psychology,Master's,1 Year,"€1,000/year",English,June 1,Autumn (September)
Autonomous University of Madrid,MA Advanced Material Science,Master's,1 Year,"€1,000/year",English,June 1,Autumn (September)
Complutense University of Madrid,MA Robotics,Master's,2 Years,"€4,000/year",Spanish,June 1,Autumn (September)
Pompeu Fabra University,MSc Climate Science,Master's,1 Year,"€2,500/year",English,June 1,Autumn (September)
University of Navarra,MA Supply Chain Management,Master's,2 Years,"€1,000/year",Spanish,June 1,Autumn (September)
Sorbonne University,MA Health Informatics,Master's,2 Years,€170/year,French,May 31,Autumn (September)
Ecole Polytechnique,MA Machine Learning,Master's,2 Years,"€3,770/year",French and English,May 31,Autumn (September)
Paris Sciences et Lettres,MSc Mechatronics,Master's,2 Years,"€2,770/year",French and English,May 31,Autumn (September)
University of Paris,MEng Biomedical Engineering,Master's,2 Years,"€10,000/year",English,May 31,Autumn (September)
Sciences Po,MSc International Business,Master's,2 Years,€243/year,English,March 31,Autumn (September)
University of Tokyo,MSc Mechatronics,Master's,2 Years,"¥1,000,000/year",English,January 31,Autumn (September)
Kyoto University,MA Data Science and AI,Master's,2 Years,"¥1,000,000/year",Japanese,August 31,Autumn (September)
Tokyo Institute of Technology,MA Strategic Management,Master's,2 Years,"¥800,000/year",Japanese,January 31,Spring (April)
Osaka University,MSc Robotics,Master's,2 Years,"¥535,800/year",Japanese,January 31,Spring (April)
Tohoku University,MSc Machine Learning,Master's,2 Years,"¥1,000,000/year",Japanese,January 31,Spring (April)
Technical University of Munich,MSc Public Policy,Master's,2 Years,"€3,000/year",German,May 31,Winter (October)
Ludwig Maximilian University of Munich,MSc Applied Mathematics,Master's,1.5 Years,€152/semester,English and German,May 31,Summer (April)
RWTH Aachen University,MSc Urban Planning,Master's,2 Years,€152/semester,English and German,May 31,Summer (April)
Humboldt University of Berlin,MSc Health Informatics,Master's,2 Years,€152/semester,English and German,November 30,Summer (April)
Free University of Berlin,MSc Behavioral Economics,Master's,2 Years,"€3,000/year",German,November 30,Winter (October)
University of Oxford,MSc Quantum Physics,Master's,1 Year,"£25,000/year",English,June 30,Autumn (September)
University of Cambridge,MSc Sustainable Architecture,Master's,1 Year,"£38,000/year",English,June 30,Autumn (September)
Imperial College London,MSc Business Analytics,Master's,1 Year,"£25,000/year",English,June 30,Autumn (October)
UCL,MSc Urban Planning,Master's,2 Years,"£9,250/year",English,June 30,Autumn (September)
University of Edinburgh,MA Global Affairs,Master's,1 Year,"£22,000/year",English,June 30,Autumn (October)
King's College London,MSc Global Affairs,Master's,1 Year,"£9,250/year",English,March 1,Autumn (September)
University of Manchester,MA Advanced Manufacturing,Master's,1 Year,"£32,000/year",English,June 30,Autumn (October)
MIT,MSc Advanced Material Science,Master's,1.5 Years,"$45,000/year",English,January 15,Spring (January)
Stanford University,MSc Molecular Biology,Master's,2 Years,"$50,000/year",English,January 15,Fall (August)
Harvard University,MSc Advanced Material Science,Master's,1.5 Years,"$45,000/year",English,January 15,Fall (August)
Caltech,MA Global Affairs,Master's,1.5 Years,"$55,000/year",English,January 15,Fall (August)
University of Chicago,MSc Mechatronics,Master's,1.5 Years,"$50,000/year",English,December 15,Fall (August)
Princeton University,MEng Biomedical Engineering,Master's,2 Years,"$50,000/year",English,December 15,Fall (August)
Columbia University,MA Public Policy,Master's,1.5 Years,"$55,000/year",English,December 15,Spring (January)
Yale University,MEng Biomedical Engineering,Master's,2 Years,"$60,000/year",English,December 15,Spring (January)
Cornell University,MA Mechatronics,Master's,2 Years,"$55,000/year",English,December 15,Spring (January)
UC Berkeley,MSc Molecular Biology,Master's,1.5 Years,"$60,000/year",English,December 15,Spring (January)
University of Toronto,MEng Renewable Energy Engineering,Master's,1 Year,"CAD 50,000/year",English,March 15,Fall (September)
McGill University,MA Advanced Manufacturing,Master's,2 Years,"CAD 40,000/year",French,March 15,Winter (January)
UBC,MA Quantitative Finance,Master's,1 Year,"CAD 30,000/year",English,February 1,Winter (January)
University of Montreal,MA Cybersecurity,Master's,1 Year,"CAD 60,000/year",French,February 1,Winter (January)
University of Alberta,MA Clinical Psychology,Master's,2 Years,"CAD 40,000/year",English,February 1,Fall (September)
McMaster University,MSc Advanced Manufacturing,Master's,1 Year,"CAD 35,000/year",English,February 1,Fall (September)
University of Melbourne,MSc Behavioral Economics,Master's,2 Years,"AUD 45,000/year",English,April 30,Semester 1 (February)
University of Sydney,MA Public Policy,Master's,1.5 Years,"AUD 40,000/year",English,April 30,Semester 1 (February)
UNSW Sydney,MA Strategic Management,Master's,2 Years,"AUD 50,000/year",English,October 31,Semester 2 (July)
Australian National University,MSc Strategic Management,Master's,2 Years,"AUD 35,000/year",English,April 30,Semester 1 (February)
Monash University,MSc Applied Mathematics,Master's,2 Years,"AUD 45,000/year",English,April 30,Semester 1 (February)
University of Queensland,MA MBA,Master's,2 Years,"AUD 45,000/year",English,October 31,Semester 1 (February)
Delft University of Technology,MA Quantum Physics,Master's,1 Year,"€10,000/year",English,June 1,Spring (February)
University of Amsterdam,MA Cybersecurity,Master's,2 Years,"€20,000/year",English,June 1,Spring (February)
Wageningen University,MSc Urban Planning,Master's,2 Years,"€10,000/year",English,April 1,Autumn (September)
Leiden University,MEng Software Systems Engineering,Master's,2 Years,"€15,000/year",English,April 1,Spring (February)
Erasmus University Rotterdam,MSc Molecular Biology,Master's,1 Year,"€2,530/year",Dutch,June 1,Spring (February)
ETH Zurich,MA Cybersecurity,Master's,1.5 Years,"CHF 1,500/semester",French,February 28,Spring (February)
EPFL,MA Data Science and AI,Master's,1.5 Years,"CHF 1,500/semester",French,April 30,Spring (February)
University of Zurich,MSc International Business,Master's,1.5 Years,CHF 730/semester,English,April 30,Autumn (September)
University of Geneva,MA Machine Learning,Master's,2 Years,"CHF 1,500/semester",English,April 30,Autumn (September)
University of Bern,MA Advanced Manufacturing,Master's,2 Years,"CHF 1,500/semester",French,April 30,Spring (February)
University of Barcelona,MSc Advanced Material Science,Master's,1 Year,"€2,500/year",Spanish,September 1,Autumn (September)
Autonomous University of Madrid,MSc Advanced Material Science,Master's,1 Year,"€6,000/year",English,June 1,Autumn (September)
Complutense University of Madrid,MSc Supply Chain Management,Master's,1 Year,"€4,000/year",Spanish,June 1,Autumn (September)
Pompeu Fabra University,MSc Public Policy,Master's,1 Year,"€1,000/year",Spanish,June 1,Autumn (September)
University of Navarra,MSc Behavioral Economics,Master's,2 Years,"€6,000/year",English,June 1,Autumn (September)
Sorbonne University,MSc Cybersecurity,Master's,2 Years,"€3,770/year",French,May 31,Autumn (September)
Ecole Polytechnique,MA Applied Mathematics,Master's,2 Years,"€10,000/year",English,May 31,Autumn (September)
Paris Sciences et Lettres,MSc Global Affairs,Master's,2 Years,"€10,000/year",English,May 31,Autumn (September)
University of Paris,MSc Molecular Biology,Master's,2 Years,"€3,770/year",English,May 31,Autumn (September)
Sciences Po,MSc Molecular Biology,Master's,2 Years,€243/year,French and English,May 31,Autumn (September)
University of Tokyo,MA Quantitative Finance,Master's,2 Years,"¥800,000/year",English,January 31,Autumn (September)
Kyoto University,MSc Digital Humanities,Master's,2 Years,"¥1,000,000/year",English,January 31,Autumn (September)
Tokyo Institute of Technology,MSc Strategic Management,Master's,2 Years,"¥535,800/year",Japanese,January 31,Spring (April)
Osaka University,MSc Strategic Management,Master's,2 Years,"¥1,000,000/year",English,January 31,Autumn (September)
Tohoku University,MSc Clinical Psychology,Master's,2 Years,"¥1,000,000/year",English,January 31,Autumn (September)
Technical University of Munich,MEng Renewable Energy Engineering,Master's,1.5 Years,"€1,500/semester",German,May 31,Summer (April)
Ludwig Maximilian University of Munich,MA Molecular Biology,Master's,2 Years,€152/semester,English and German,November 30,Winter (October)
RWTH Aachen University,MSc Digital Humanities,Master's,1.5 Years,"€3,000/year",English,May 31,Winter (October)
Humboldt University of Berlin,MSc Clinical Psychology,Master's,1.5 Years,"€1,500/semester",English,November 30,Winter (October)
Free University of Berlin,MA Digital Humanities,Master's,1.5 Years,"€1,500/semester",English and German,November 30,Summer (April)
University of Oxford,MSc Strategic Management,Master's,2 Years,"£28,500/year",English,June 30,Autumn (October)
University of Cambridge,MSc Quantum Physics,Master's,2 Years,"£9,250/year",English,March 1,Autumn (September)
Imperial College London,MSc Advanced Material Science,Master's,2 Years,"£38,000/year",English,June 30,Autumn (October)
UCL,MA Advanced Manufacturing,Master's,2 Years,"£22,000/year",English,June 30,Autumn (October)
University of Edinburgh,MSc Molecular Biology,Master's,1 Year,"£28,500/year",English,June 30,Autumn (October)
King's College London,MA Mechatronics,Master's,2 Years,"£28,500/year",English,June 30,Autumn (October)
University of Manchester,MSc Behavioral Economics,Master's,2 Years,"£38,000/year",English,June 30,Autumn (October)
MIT,MSc Public Policy,Master's,1.5 Years,"$50,000/year",English,December 15,Spring (January)
Stanford University,MSc Mechatronics,Master's,2 Years,"$45,000/year",English,December 15,Fall (August)
Harvard University,MSc Global Affairs,Master's,1.5 Years,"$50,000/year",English,December 15,Fall (August)
Caltech,MSc Strategic Management,Master's,1.5 Years,"$65,000/year",English,December 15,Fall (August)
University of Chicago,MA Cybersecurity,Master's,1.5 Years,"$50,000/year",English,December 15,Spring (January)
Princeton University,MEng Software Systems Engineering,Master's,2 Years,"$60,000/year",English,January 15,Spring (January)
Columbia University,MEng Software Systems Engineering,Master's,2 Years,"$45,000/year",English,December 15,Spring (January)
Yale University,MA Strategic Management,Master's,2 Years,"$50,000/year",English,January 15,Fall (August)
Cornell University,MSc Global Affairs,Master's,1.5 Years,"$60,000/year",English,December 15,Spring (January)
UC Berkeley,MA MBA,Master's,2 Years,"$50,000/year",English,January 15,Fall (August)
University of Toronto,MA Behavioral Economics,Master's,1 Year,"CAD 30,000/year",French,February 1,Fall (September)
McGill University,MA Sustainable Architecture,Master's,1 Year,"CAD 60,000/year",French,February 1,Fall (September)
